r1_low,r1_high,r2_low,r2_high,observed_count,expected_probability,expected_count,standardized_residual
0.1,0.12,0.02,0.04,0,0.0,0.0,nan
0.1,0.12,0.04,0.06,0,0.0,0.0,nan
0.1,0.12,0.06,0.08,0,0.0,0.0,nan
0.1,0.12,0.08,0.1,0,0.0,0.0,nan
0.1,0.12,0.1,0.12,0,0.0,0.0,nan
0.1,0.12,0.12,0.14,0,0.0,0.0,nan
0.1,0.12,0.14,0.16,0,0.0,0.0,nan
0.1,0.12,0.16,0.18,0,0.0,0.0,nan
0.1,0.12,0.18,0.2,0,0.0,0.0,nan
0.1,0.12,0.2,0.22,0,0.0,0.0,nan
0.1,0.12,0.22,0.24,0,0.0,0.0,nan
0.1,0.12,0.24,0.26,0,0.0,0.0,nan
0.1,0.12,0.26,0.28,0,0.0,0.0,nan
0.1,0.12,0.28,0.3,0,0.0,0.0,nan
0.1,0.12,0.3,0.32,0,0.0,0.0,nan
0.1,0.12,0.32,0.34,0,0.0,0.0,nan
0.1,0.12,0.34,0.36,0,0.0,0.0,nan
0.1,0.12,0.36,0.38,0,0.0,0.0,nan
0.1,0.12,0.38,0.4,0,0.0,0.0,nan
0.1,0.12,0.4,0.42,0,0.0,0.0,nan
0.1,0.12,0.42,0.44,0,0.0,0.0,nan
0.1,0.12,0.44,0.46,0,0.0,0.0,nan
0.1,0.12,0.46,0.48,0,0.0,0.0,nan
0.1,0.12,0.48,0.5,0,0.0,0.0,nan
0.1,0.12,0.5,0.52,0,0.0,0.0,nan
0.1,0.12,0.52,0.54,0,0.0,0.0,nan
0.1,0.12,0.54,0.56,0,0.0,0.0,nan
0.1,0.12,0.56,0.58,0,0.0,0.0,nan
0.1,0.12,0.58,0.6,0,0.0,0.0,nan
0.1,0.12,0.6,0.62,0,0.0,0.0,nan
0.1,0.12,0.62,0.64,0,0.0,0.0,nan
0.1,0.12,0.64,0.66,0,0.0,0.0,nan
0.1,0.12,0.66,0.68,0,0.0,0.0,nan
0.1,0.12,0.68,0.7000000000000001,0,0.0,0.0,nan
0.1,0.12,0.7000000000000001,0.72,0,0.0,0.0,nan
0.1,0.12,0.72,0.74,0,0.0,0.0,nan
0.1,0.12,0.74,0.76,0,0.0,0.0,nan
0.1,0.12,0.76,0.78,0,0.0,0.0,nan
0.1,0.12,0.78,0.8,0,0.0,0.0,nan
0.1,0.12,0.8,0.8200000000000001,0,0.0,0.0,nan
0.1,0.12,0.8200000000000001,0.84,0,0.0,0.0,nan
0.1,0.12,0.84,0.86,0,0.0,0.0,nan
0.1,0.12,0.86,0.88,0,0.0,0.0,nan
0.1,0.12,0.88,0.9,47,0.00041947896080267655,41.947896080267654,0.7800405565944505
0.1,0.12,0.9,0.92,68,0.000803047998720394,80.3047998720394,-1.37310517069785
0.1,0.12,0.92,0.9400000000000001,72,0.0007338636311913836,73.38636311913837,-0.16183383051802766
0.1,0.12,0.9400000000000001,0.96,60,0.0007193874872306206,71.93874872306206,-1.4075938861820487
0.1,0.12,0.96,0.98,78,0.0007593674462153499,75.93674462153498,0.23677017672752543
0.1,0.12,0.98,1.0,84,0.0008545056737973962,85.45056737973962,-0.1569207703515964
0.12,0.14,0.0,0.02,0,0.0,0.0,nan
0.12,0.14,0.02,0.04,0,0.0,0.0,nan
0.12,0.14,0.04,0.06,0,0.0,0.0,nan
0.12,0.14,0.06,0.08,0,0.0,0.0,nan
0.12,0.14,0.08,0.1,0,0.0,0.0,nan
0.12,0.14,0.1,0.12,0,0.0,0.0,nan
0.12,0.14,0.12,0.14,0,0.0,0.0,nan
0.12,0.14,0.14,0.16,0,0.0,0.0,nan
0.12,0.14,0.16,0.18,0,0.0,0.0,nan
0.12,0.14,0.18,0.2,0,0.0,0.0,nan
0.12,0.14,0.2,0.22,0,0.0,0.0,nan
0.12,0.14,0.22,0.24,0,0.0,0.0,nan
0.12,0.14,0.24,0.26,0,0.0,0.0,nan
0.12,0.14,0.26,0.28,0,0.0,0.0,nan
0.12,0.14,0.28,0.3,0,0.0,0.0,nan
0.12,0.14,0.3,0.32,0,0.0,0.0,nan
0.12,0.14,0.32,0.34,0,0.0,0.0,nan
0.12,0.14,0.34,0.36,0,0.0,0.0,nan
0.12,0.14,0.36,0.38,0,0.0,0.0,nan
0.12,0.14,0.38,0.4,0,0.0,0.0,nan
0.12,0.14,0.4,0.42,0,0.0,0.0,nan
0.12,0.14,0.42,0.44,0,0.0,0.0,nan
0.12,0.14,0.44,0.46,0,0.0,0.0,nan
0.12,0.14,0.46,0.48,0,0.0,0.0,nan
0.12,0.14,0.48,0.5,0,0.0,0.0,nan
0.12,0.14,0.5,0.52,0,0.0,0.0,nan
0.12,0.14,0.52,0.54,0,0.0,0.0,nan
0.12,0.14,0.54,0.56,0,0.0,0.0,nan
0.12,0.14,0.56,0.58,0,0.0,0.0,nan
0.12,0.14,0.58,0.6,0,0.0,0.0,nan
0.12,0.14,0.6,0.62,0,0.0,0.0,nan
0.12,0.14,0.62,0.64,0,0.0,0.0,nan
0.12,0.14,0.64,0.66,0,0.0,0.0,nan
0.12,0.14,0.66,0.68,0,0.0,0.0,nan
0.12,0.14,0.68,0.7000000000000001,0,0.0,0.0,nan
0.12,0.14,0.7000000000000001,0.72,0,0.0,0.0,nan
0.12,0.14,0.72,0.74,0,0.0,0.0,nan
0.12,0.14,0.74,0.76,0,0.0,0.0,nan
0.12,0.14,0.76,0.78,0,0.0,0.0,nan
0.12,0.14,0.78,0.8,0,0.0,0.0,nan
0.12,0.14,0.8,0.8200000000000001,0,0.0,0.0,nan
0.12,0.14,0.8200000000000001,0.84,0,0.0,0.0,nan
0.12,0.14,0.84,0.86,0,0.0,0.0,nan
0.12,0.14,0.86,0.88,36,0.0004163665778346277,41.636657783462766,-0.8735418938042945
0.12,0.14,0.88,0.9,101,0.0008189717153268472,81.89717153268472,2.1108784419775826
0.12,0.14,0.9,0.92,78,0.0007515557200885197,75.15557200885198,0.32810613535672684
0.12,0.14,0.92,0.9400000000000001,75,0.0007225830889000757,72.25830889000757,0.32253334984628024
0.12,0.14,0.9400000000000001,0.96,85,0.0007315273150665361,73.15273150665361,1.3851696181925846
0.12,0.14,0.96,0.98,80,0.0007785523027452691,77.85523027452692,0.24307302959324717
0.12,0.14,0.98,1.0,95,0.0008645162219081864,86.45162219081864,0.9193844093257287
0.14,0.16,0.0,0.02,0,0.0,0.0,nan
0.14,0.16,0.02,0.04,0,0.0,0.0,nan
0.14,0.16,0.04,0.06,0,0.0,0.0,nan
0.14,0.16,0.06,0.08,0,0.0,0.0,nan
0.14,0.16,0.08,0.1,0,0.0,0.0,nan
0.14,0.16,0.1,0.12,0,0.0,0.0,nan
0.14,0.16,0.12,0.14,0,0.0,0.0,nan
0.14,0.16,0.14,0.16,0,0.0,0.0,nan
0.14,0.16,0.16,0.18,0,0.0,0.0,nan
0.14,0.16,0.18,0.2,0,0.0,0.0,nan
0.14,0.16,0.2,0.22,0,0.0,0.0,nan
0.14,0.16,0.22,0.24,0,0.0,0.0,nan
0.14,0.16,0.24,0.26,0,0.0,0.0,nan
0.14,0.16,0.26,0.28,0,0.0,0.0,nan
0.14,0.16,0.28,0.3,0,0.0,0.0,nan
0.14,0.16,0.3,0.32,0,0.0,0.0,nan
0.14,0.16,0.32,0.34,0,0.0,0.0,nan
0.14,0.16,0.34,0.36,0,0.0,0.0,nan
0.14,0.16,0.36,0.38,0,0.0,0.0,nan
0.14,0.16,0.38,0.4,0,0.0,0.0,nan
0.14,0.16,0.4,0.42,0,0.0,0.0,nan
0.14,0.16,0.42,0.44,0,0.0,0.0,nan
0.14,0.16,0.44,0.46,0,0.0,0.0,nan
0.14,0.16,0.46,0.48,0,0.0,0.0,nan
0.14,0.16,0.48,0.5,0,0.0,0.0,nan
0.14,0.16,0.5,0.52,0,0.0,0.0,nan
0.14,0.16,0.52,0.54,0,0.0,0.0,nan
0.14,0.16,0.54,0.56,0,0.0,0.0,nan
0.14,0.16,0.56,0.58,0,0.0,0.0,nan
0.14,0.16,0.58,0.6,0,0.0,0.0,nan
0.14,0.16,0.6,0.62,0,0.0,0.0,nan
0.14,0.16,0.62,0.64,0,0.0,0.0,nan
0.14,0.16,0.64,0.66,0,0.0,0.0,nan
0.14,0.16,0.66,0.68,0,0.0,0.0,nan
0.14,0.16,0.68,0.7000000000000001,0,0.0,0.0,nan
0.14,0.16,0.7000000000000001,0.72,0,0.0,0.0,nan
0.14,0.16,0.72,0.74,0,0.0,0.0,nan
0.14,0.16,0.74,0.76,0,0.0,0.0,nan
0.14,0.16,0.76,0.78,0,0.0,0.0,nan
0.14,0.16,0.78,0.8,0,0.0,0.0,nan
0.14,0.16,0.8,0.8200000000000001,0,0.0,0.0,nan
0.14,0.16,0.8200000000000001,0.84,0,0.0,0.0,nan
0.14,0.16,0.84,0.86,37,0.0004124448017740991,41.244480177409905,-0.6609088881966653
0.14,0.16,0.86,0.88,95,0.0008315211433966867,83.15211433966867,1.2992843458677164
0.14,0.16,0.88,0.9,78,0.0007679688193046288,76.79688193046287,0.13728922574595917
0.14,0.16,0.9,0.92,83,0.0007328997741659544,73.28997741659543,1.1342216845131998
0.14,0.16,0.92,0.9400000000000001,64,0.0007256501447682694,72.56501447682695,-1.0054592137885714
0.14,0.16,0.9400000000000001,0.96,66,0.0007460835466574972,74.60835466574972,-0.9966127074215476
0.14,0.16,0.96,0.98,82,0.0007945878127236336,79.45878127236337,0.2850828536687701
0.14,0.16,0.98,1.0,99,0.0008720843272540233,87.20843272540233,1.2626770656429556
0.16,0.18,0.0,0.02,0,0.0,0.0,nan
0.16,0.18,0.02,0.04,0,0.0,0.0,nan
0.16,0.18,0.04,0.06,0,0.0,0.0,nan
0.16,0.18,0.06,0.08,0,0.0,0.0,nan
0.16,0.18,0.08,0.1,0,0.0,0.0,nan
0.16,0.18,0.1,0.12,0,0.0,0.0,nan
0.16,0.18,0.12,0.14,0,0.0,0.0,nan
0.16,0.18,0.14,0.16,0,0.0,0.0,nan
0.16,0.18,0.16,0.18,0,0.0,0.0,nan
0.16,0.18,0.18,0.2,0,0.0,0.0,nan
0.16,0.18,0.2,0.22,0,0.0,0.0,nan
0.16,0.18,0.22,0.24,0,0.0,0.0,nan
0.16,0.18,0.24,0.26,0,0.0,0.0,nan
0.16,0.18,0.26,0.28,0,0.0,0.0,nan
0.16,0.18,0.28,0.3,0,0.0,0.0,nan
0.16,0.18,0.3,0.32,0,0.0,0.0,nan
0.16,0.18,0.32,0.34,0,0.0,0.0,nan
0.16,0.18,0.34,0.36,0,0.0,0.0,nan
0.16,0.18,0.36,0.38,0,0.0,0.0,nan
0.16,0.18,0.38,0.4,0,0.0,0.0,nan
0.16,0.18,0.4,0.42,0,0.0,0.0,nan
0.16,0.18,0.42,0.44,0,0.0,0.0,nan
0.16,0.18,0.44,0.46,0,0.0,0.0,nan
0.16,0.18,0.46,0.48,0,0.0,0.0,nan
0.16,0.18,0.48,0.5,0,0.0,0.0,nan
0.16,0.18,0.5,0.52,0,0.0,0.0,nan
0.16,0.18,0.52,0.54,0,0.0,0.0,nan
0.16,0.18,0.54,0.56,0,0.0,0.0,nan
0.16,0.18,0.56,0.58,0,0.0,0.0,nan
0.16,0.18,0.58,0.6,0,0.0,0.0,nan
0.16,0.18,0.6,0.62,0,0.0,0.0,nan
0.16,0.18,0.62,0.64,0,0.0,0.0,nan
0.16,0.18,0.64,0.66,0,0.0,0.0,nan
0.16,0.18,0.66,0.68,0,0.0,0.0,nan
0.16,0.18,0.68,0.7000000000000001,0,0.0,0.0,nan
0.16,0.18,0.7000000000000001,0.72,0,0.0,0.0,nan
0.16,0.18,0.72,0.74,0,0.0,0.0,nan
0.16,0.18,0.74,0.76,0,0.0,0.0,nan
0.16,0.18,0.76,0.78,0,0.0,0.0,nan
0.16,0.18,0.78,0.8,0,0.0,0.0,nan
0.16,0.18,0.8,0.8200000000000001,0,0.0,0.0,nan
0.16,0.18,0.8200000000000001,0.84,42,0.00042715570896666416,42.715570896666414,-0.1094862450178378
0.16,0.18,0.84,0.86,77,0.0008415728498691548,84.15728498691549,-0.7801937233419092
0.16,0.18,0.86,0.88,73,0.0007823962793931528,78.23962793931528,-0.5923618229955732
0.16,0.18,0.88,0.9,59,0.0007452055548899815,74.52055548899816,-1.7979152621053092
0.16,0.18,0.9,0.92,61,0.0007292666443274912,72.92666443274912,-1.3966121797774622
